cell_line,tissue
NCIH211,lung
LU99,lung
HCC827,lung
NCIH460,lung
HCC44,lung
NCIH1792,lung
NCIH2087,lung
LK2,lung
NCIH2887,lung
NCIH82,lung
NCIH1299,lung
NCIH2122,lung
MSTO211H,lung
CORL23,lung
NCIH1581,lung
A549,lung
LCLC97TM1,lung
NCIH2170,lung
NCIH2171,lung
LU65,lung
COLO699,lung
NCIH1339,lung
HCC2429,lung
HCC1359,lung
NCIH23,lung
NCIH1944,lung
NCIH1975,lung
NCIH446,lung
RERFLCAI,lung
CORL311,lung
SW1271,lung
ISTMES2,lung
CAL12T,lung
HCC95,lung
NCIH1568,lung
DMS53,lung
MORCPR,lung
NCIH3122,lung
NCIH522,lung
NCIH2023,lung
SCLC22H,lung
A427,lung
DMS273,lung
NCIH1437,lung
NCIH524,lung
LXF289,lung
NCIH647,lung
NCIH2882,lung
MERO82,lung
NCIH1048,lung
HCC2450,lung
NCIH1915,lung
EBC1,lung
CORL279,lung
NCIH2291,lung
HCC15,lung
LUDLU1,lung
HARA,lung
LC1SQSF,lung
NCIH1341,lung
NCIH1373,lung
NCIH1435,lung
NCIH2030,lung
KNS62,lung
DMS114,lung
IALM,lung
HCC2814,lung
LU135,lung
SW1573,lung
SHP77,lung
HOP62,lung
NCIH358,lung
NCIH1703,lung
NCIH322,lung
NCIH28,lung
HCC1833,lung
NCIH838,lung
NCIH1648,lung
NCIH661,lung
NCIH1666,lung
NCIH810,lung
NCIH2052,lung
NCIH1793,lung
HCC2108,lung
NCIH650,lung
NCIH292,lung
NCIH1395,lung
NCIH2110,lung
NCIH520,lung
CALU3,lung
NCIH226,lung
NCIH727,lung
HCC78,lung
LC1F,lung
NCIH1355,lung
NCIH1838,lung
HCC827GR5,lung
NCIH2172,lung
EPLC272H,lung
NCIH1650,lung
NCIH1869,lung
HCC364,lung
SCLC21H,lung
HCC461,lung
LO68,lung
HCC515,lung
DV90,lung
CORL105,lung
NCIH1755,lung
LOUNH91,lung
ISTMES1,lung
HCC366,lung
NCIH2081,lung
NCIH2286,lung
MPP89,lung
NCIH2009,lung
NCIH2126,lung
ABC1,lung
NCIH1623,lung
NCIH841,lung
RERFLCAD2,lung
NCIH2452,lung
NCIH1930,lung
MERO95,lung
NCIH510,lung
NCIH1781,lung
NCIH2342,lung
NCIH441,lung
NO36,lung
CALU1,lung
SQ1,lung
HCC2279,lung
NCIH146,lung
ACCMESO1,lung
NCIH1693,lung
PC9,lung
JL1,lung
CHAGOK1,lung
PC14,lung
HCC1438,lung
NCIH2073,lung
NCIH2347,lung
MERO25,lung
LCLC103H,lung
ONE58,lung
HCC1195,lung
NCIH1651,lung
NCIH1155,lung
MERO14,lung
CORL88,lung
NCIH209,lung
DMS454,lung
SKMES1,lung
NCIH2085,lung
EKVX,lung
RERFLCSQ1,lung
NCIH1573,lung
T3M10,lung
HOP92,lung
NCIH854,lung
CALU6,lung
NCIH1436,lung
NCIH1819,lung
NCIH69,lung
RERFLCMS,lung
NCIH1694,lung
HCC2935,lung
NCIH1184,lung
NCIH2228,lung
MERO83,lung
NCIH2405,lung
NCIH526,lung
NCIH1105,lung
HCC33,lung
HCC1171,lung
NCIH1618,lung
NCIH2029,lung
NCIH1836,lung
NCIH2444,lung
SW900,lung
NCIH889,lung
NCIH1734,lung
DMS79,lung
MERO84,lung
MERO48A,lung
SBC5,lung
NCIH1963,lung
NCIH2106,lung
NCIH1876,lung
NCIH596,lung
NCIH1385,lung
MERO41,lung
NCIH1092,lung
COLO668,lung
HCC4006,lung
RERFLCAD1,lung
NCIH2227,lung
BEN,lung
NCIH3255,lung
CORL47,lung
NCIH1563,lung
DMS153,lung
NCIH196,lung
CORL24,lung
RERFLCKJ,lung
NCIH2196,lung
CORL95,lung
COLO320,colorectal
RKO,colorectal
HT29,colorectal
NCIH716,colorectal
SNUC1,colorectal
SW620,colorectal
CCK81,colorectal
KM12,colorectal
HT115,colorectal
SNUC4,colorectal
SNU61,colorectal
LS180,colorectal
NCIH747,colorectal
LS513,colorectal
SW480,colorectal
DLD1,colorectal
T84,colorectal
SW837,colorectal
HT55,colorectal
SW48,colorectal
SNU407,colorectal
SW403,colorectal
HCT15,colorectal
GP2D,colorectal
LOVO,colorectal
CW2,colorectal
LS411N,colorectal
C99,colorectal
SKCO1,colorectal
C84,colorectal
SNU1033,colorectal
C2BBE1,colorectal
SW1417,colorectal
SNU503,colorectal
GP5D,colorectal
C125PM,colorectal
LS123,colorectal
HCC56,colorectal
LS1034,colorectal
HCT116,colorectal
SW1463,colorectal
TT1TKB,colorectal
SNUC5,colorectal
MDST8,colorectal
COLO201,colorectal
SNU1544,colorectal
SW948,colorectal
CL11,colorectal
C75,colorectal
SW626,colorectal
RCM1,colorectal
SNU81,colorectal
CL34,colorectal
SNU1040,colorectal
C80,colorectal
NCIH508,colorectal
SNU175,colorectal
SNU283,colorectal
TGBC18TKB,colorectal
SW1116,colorectal
CACO2,colorectal
NCIH684,colorectal
OUMS23,colorectal
ECC4,colorectal
COLO678,colorectal
CL14,colorectal
SNU1197,colorectal
CL40,colorectal
SNUC2A,colorectal
C10,colorectal
HMC18,breast
AU565,breast
HCC1395,breast
SUM159PT,breast
EFM19,breast
SUM229PE,breast
CAL120,breast
MDAMB436,breast
MDAMB231,breast
HCC1599,breast
BT549,breast
MCF7,breast
SKBR3,breast
COLO824,breast
HCC1954,breast
KPL1,breast
MFM223,breast
HCC2157,breast
MDAMB453,breast
SUM149PT,breast
T47D,breast
HCC1187,breast
UACC893,breast
HCC1428,breast
HCC1143,breast
HCC1569,breast
CAL51,breast
HCC1937,breast
VP229,breast
SUM1315MO2,breast
ZR751,breast
MDAMB361,breast
HCC2218,breast
JIMT1,breast
HS578T,breast
HCC1419,breast
EFM192A,breast
HCC1806,breast
MDAMB468,breast
CAMA1,breast
HCC70,breast
SUM52PE,breast
BT474,breast
BT20,breast
HCC38,breast
ZR7530,breast
MDAMB157,breast
CAL851,breast
CAL148,breast
DU4475,breast
UACC812,breast
MDAMB415,breast
MDAMB134VI,breast
HCC1500,breast
BT483,breast
HDQP1,breast
SUM185PE,breast
SUM44PE,breast
HCC202,breast
SUM102PT,breast
MDAMB175VII,breast
PSN1,pancreas
HUPT3,pancreas
DANG,pancreas
PATU8902,pancreas
PANC1005,pancreas
PATU8988T,pancreas
PANC0813,pancreas
MIAPACA2,pancreas
KP4,pancreas
PK1,pancreas
SUIT2,pancreas
L33,pancreas
CAPAN1,pancreas
CFPAC1,pancreas
HPAFII,pancreas
SW1990,pancreas
HUPT4,pancreas
PACADD161,pancreas
PANC0203,pancreas
PACADD137,pancreas
HS766T,pancreas
T3M4,pancreas
PK8,pancreas
KP3,pancreas
PANC0327,pancreas
PANC0403,pancreas
ASPC1,pancreas
PANC1,pancreas
PACADD165,pancreas
PATU8988S,pancreas
KP2,pancreas
PK45H,pancreas
TCCPAN2,pancreas
PACADD119,pancreas
BXPC3,pancreas
9505BIK,pancreas
SNU410,pancreas
SNU213,pancreas
KCIMOH1,pancreas
HPAC,pancreas
SNU324,pancreas
YAPC,pancreas
PACADD188,pancreas
PANC0504,pancreas
JOPACA1,pancreas
CAPAN2,pancreas
QGP1,pancreas
PK59,pancreas
SU8686,pancreas
PANC0213,pancreas
PACADD159,pancreas
PACADD135,pancreas